# From Lipson et al. Nature Biotech (2009) supplementary table 1
# downloaded from http://www.nature.com.ezp-prod1.hul.harvard.edu/nbt/journal/v27/n7/extref/nbt.1551-S2.xls on 8/28/2009
orf	gene	chan7	chan8	chan9	chan10	chan11	chan12	chan.avg	stdev	inter.channel.cv	inter.prep.cv	microarray	nagalakshmi
YOR052C	YOR052C	193.2	192	193.8	206	208	205.5	199.75	7.46	0.005	0.038	1550	NA
YOR053W	YOR053W	71	67.5	68.8	66.3	65.8	64.5	67.32	2.33	0.026	0.041	NA	NA
YOR054C	VHS3	36.9	37.4	35.3	35.8	33.6	35.8	35.8	1.33	0.030	0.057	300	NA
YOR055W	YOR055W	0.1	0.2	0.1	0.1	0	0.1	0.1	0.06	0.433	0.866	NA	NA
YOR056C	NOB1	76.4	76.4	75.2	81.5	74.5	82.2	77.7	3.3	0.009	0.058	1059	NA
YOR057W	SGT1	59.7	60.2	61.9	68.8	62.3	63.5	62.73	3.28	0.019	0.177	704	NA
YOR058C	ASE1	30.5	32.2	32.5	34.1	31.3	36.5	32.85	2.16	0.034	0.056	267	NA
YOR059C	YOR059C	35.4	31.2	32.3	35.2	35.5	35.3	34.15	1.89	0.066	0.004	719	NA
YOR060C	YOR060C	15.2	15.4	15.9	16.6	16.5	18.4	16.33	1.16	0.023	0.128	184	NA
YOR061W	CKA2	114.2	117.1	107.8	107.6	109.7	111.1	111.25	3.76	0.042	0.038	1374	NA
YOR062C	YOR062C	41.5	39.3	38	36.8	41.1	42.1	39.8	2.11	0.045	0.060	531	NA
YOR063W	RPL3	4480.8	4448.6	4483.3	4489.9	4419.2	4471	4465.47	26.85	0.004	0.015	20404	NA
YOR064C	YNG1	28.2	29.6	30.3	30.4	30.5	30.3	29.88	0.88	0.036	0.044	280	NA
YOR065W	CYT1	115.9	113.8	118.2	126.7	122.7	128.3	120.93	5.9	0.019	0.065	1779	NA
YOR066W	YOR066W	48.9	52	50.4	50.6	50	47.5	49.9	1.54	0.031	0.084	607	NA
YOR067C	ALG8	79.5	82.7	84.3	84.2	92.3	88.3	85.22	4.48	0.030	0.052	2180	NA
YOR068C	VAM10	0.2	0.2	0.2	0.3	0.1	0.4	0.23	0.1	0.000	0.247	42	NA
YOR069W	VPS5	39.8	40.2	40.7	42.3	36.4	40.5	39.98	1.95	0.011	0.037	437	NA
YOR070C	GYP1	37.1	34.4	36.8	36.5	37.1	36	36.32	1.03	0.041	0.018	541	NA
YOR071C	THI71	39	40.3	39.3	35.4	38.2	38.7	38.48	1.67	0.017	0.049	513	NA
YOR072W	YOR072W	1.1	1	1.6	1	1	1	1.12	0.24	0.261	0.091	NA	NA
YOR072W-A	YOR072W-A	3.4	2.4	2.3	2.3	3.1	2.7	2.7	0.46	0.225	0.214	NA	NA
YOR072W-B	YOR072W-B	1.8	1.3	1.3	1.3	2.2	1.8	1.62	0.38	0.197	0.224	10	NA
YOR073W	SGO1	36	33.8	31.6	34.7	34	37.2	34.55	1.93	0.065	0.062	961	NA
YOR073W-A	YOR073W-A	0.1	0.1	0.2	0	0.1	0.3	0.13	0.1	0.433	1.732	NA	NA
YOR075W	UFE1	42.3	45.1	41.4	41	39.3	43.1	42.03	1.98	0.045	0.083	523	NA
YOR076C	SKI7	26.4	24.9	29.4	28	23.8	27.7	26.7	2.08	0.085	0.041	414	NA
YOR077W	RTS2	10.2	10.3	13.3	9.8	10.4	12	11	1.36	0.156	0.044	71	NA
YOR078W	BUD21	192.8	190.2	189.7	204.7	186.3	198.4	193.68	6.74	0.009	0.049	940	NA
YOR079C	ATX2	59.8	60.6	60	62	62.8	58.1	60.55	1.68	0.007	0.036	1016	NA
YOR080W	DIA2	39.3	37.3	38.3	40.7	37.8	37.8	38.53	1.26	0.026	0.043	587	NA
YOR081C	TGL5	53.1	55.4	52.9	55.4	55.8	51.8	54.07	1.67	0.026	0.021	1103	NA
YOR082C	YOR082C	1.9	2.9	2.2	1.9	2.9	2.5	2.38	0.46	0.220	0.213	NA	NA
YOR083W	WHI5	12.3	12.6	12.3	12.3	12.2	12	12.28	0.19	0.014	0.089	157	NA
YOR084W	YOR084W	22.4	21.8	23.7	23.2	23.9	22.9	22.98	0.79	0.043	0.033	392	NA
YOR085W	OST3	158.2	152.5	154.6	148.8	153.4	154.9	153.73	3.1	0.019	0.033	1368	NA
YOR086C	TCB1	100.9	103.5	102.2	109.2	101	101.4	103.03	3.17	0.013	0.040	897	NA
YOR087W	YVC1	63.3	63.8	61.1	62.9	62.7	66.6	63.4	1.81	0.023	0.028	894	NA
YOR089C	VPS21	94.6	92.1	96.2	103.2	101	97.8	97.48	4.1	0.022	0.068	731	NA
YOR090C	PTC5	51.2	46.9	47.7	44.5	51.9	45.5	47.95	3.01	0.047	0.079	687	NA
YOR091W	TMA46	82	78.3	81.2	75.3	76.7	77.1	78.43	2.65	0.024	0.043	774	NA
YOR092W	ECM3	49.9	51.3	54	53	50	53.1	51.88	1.73	0.040	0.059	808	NA
YOR093C	YOR093C	40.2	38.5	39.3	37.3	41.5	38.4	39.2	1.49	0.022	0.038	329	NA
YOR094W	ARF3	52.1	51.2	51.1	53	51.2	55.2	52.3	1.6	0.011	0.056	526	NA
YOR095C	RKI1	170	163.9	161.4	176	173.6	177	170.32	6.46	0.027	0.031	2612	NA
YOR097C	YOR097C	51.1	52.5	47.2	56.4	56.6	55	53.13	3.63	0.055	0.055	314	NA
YOR098C	NUP1	67	69.4	66.8	65	67.2	70	67.57	1.84	0.021	0.020	644	NA
YOR099W	KTR1	177.8	173.8	171.8	170.2	179.8	173.6	174.5	3.63	0.018	0.036	2533	NA
YOR100C	CRC1	9.7	9.6	9.8	10.3	10.2	9.7	9.88	0.29	0.010	0.092	59	NA
YOR101W	RAS1	154.9	152.2	162.9	150.8	144.5	151.9	152.87	6.01	0.036	0.076	806	NA
YOR102W	YOR102W	30	30.4	28.8	33.6	37.7	30.7	31.87	3.27	0.028	0.075	NA	NA
YOR103C	OST2	179.3	193.5	194.6	176.2	182.3	182.9	184.8	7.56	0.045	0.040	1827	NA
YOR104W	PIN2	43.9	43	41.1	46	45	43.9	43.82	1.69	0.034	0.083	442	NA
YOR105W	YOR105W	0.5	0.9	0.9	0.9	1	0.4	0.77	0.25	0.301	0.483	NA	NA
YOR106W	VAM3	29.6	31.4	34.6	33.6	35.1	33.9	33.03	2.11	0.079	0.084	530	NA
YOR107W	RGS2	27.6	29.3	29.2	29.8	28.1	30.6	29.1	1.1	0.033	0.040	796	NA
YOR108C-A	YOR108C-A	9	7.8	8.1	6.9	9.2	7.1	8.02	0.95	0.075	0.151	NA	NA
YOR108W	LEU9	148.6	151	154.5	152.2	154.9	154.8	152.67	2.55	0.020	0.019	1876	NA
YOR109W	INP53	86.6	82.8	90.4	89.8	85.8	89.7	87.52	2.98	0.044	0.019	643	NA
YOR110W	TFC7	38.8	41.8	41.9	40.9	41.2	40.8	40.9	1.12	0.043	0.078	383	NA
YOR111W	YOR111W	24.4	22.8	22.8	23.1	22.8	26.4	23.72	1.45	0.040	0.038	273	NA
YOR112W	CEX1	36.7	35.6	41.5	35.7	40.8	37.4	37.95	2.58	0.083	0.014	427	NA
YOR113W	AZF1	30	31	28.5	28.4	29.4	30.5	29.63	1.06	0.042	0.126	216	NA
YOR114W	YOR114W	15.7	14.9	15.9	16.1	16.9	14.3	15.63	0.92	0.034	0.081	178	NA
YOR115C	TRS33	59.8	58.9	55.3	63.2	55.7	53.4	57.72	3.59	0.041	0.052	976	NA
YOR116C	RPO31	101.3	100.9	101.1	99.2	100.9	100.3	100.62	0.77	0.002	0.042	2061	NA
YOR117W	RPT5	166.7	164.2	168.1	173.2	170.2	169.9	168.72	3.12	0.012	0.024	1850	NA
YOR118W	YOR118W	45.5	42.7	46.3	42.1	42.5	44	43.85	1.73	0.042	0.056	719	NA
YOR119C	RIO1	52	56.9	54.1	60.6	53.9	58.6	56.02	3.25	0.045	0.157	678	NA
YOR120W	GCY1	61.9	64.9	58	64.1	65.3	61.9	62.68	2.72	0.056	0.043	926	NA
YOR121C	YOR121C	111.1	102.9	105.8	102.7	108.6	102.7	105.63	3.56	0.039	0.058	NA	NA
YOR123C	LEO1	130.8	123.2	127.8	137.6	126.5	148.7	132.43	9.34	0.030	0.100	1045	NA
YOR124C	UBP2	65.6	69.6	65.8	67.1	65.6	68.1	66.97	1.63	0.034	0.059	815	NA
YOR125C	CAT5	44.6	45.1	44.8	40.8	43.7	46.2	44.2	1.85	0.006	0.063	182	NA
YOR126C	IAH1	47.3	48.9	48.6	49.6	52.4	46.5	48.88	2.06	0.018	0.024	323	NA
YOR127W	RGA1	50.2	52.3	53.6	48.8	51.4	51.2	51.25	1.66	0.033	0.018	1238	NA
YOR128C	ADE2	134.3	128.5	136.2	137	132.9	141	134.98	4.21	0.030	0.031	2450	NA
YOR129C	YOR129C	18.4	21.3	19.7	20.8	18.3	19.8	19.72	1.22	0.073	0.062	351	NA
YOR130C	ORT1	81.7	84.8	90.1	83.6	84	84.6	84.8	2.82	0.050	0.016	580	NA
YOR131C	YOR131C	91.1	86.8	87.3	92.6	93.2	88.3	89.88	2.78	0.027	0.050	888	NA
YOR132W	VPS17	40.1	38.2	36.8	38.3	39.3	38	38.45	1.14	0.043	0.040	904	NA
YOR133W	EFT1	684.3	648.2	669.6	621.6	654.2	645.8	653.95	21.5	0.027	0.051	NA	NA
YOR134W	BAG7	6.9	7.7	7.9	7.4	9.5	10	8.23	1.23	0.071	0.037	70	NA
YOR135C	YOR135C	0.2	0.1	0	0.1	0.2	0.1	0.12	0.08	1.000	0.346	NA	NA
YOR136W	IDH2	471.1	460.7	458.7	454.5	469.4	461.2	462.6	6.4	0.014	0.018	3940	NA
YOR137C	SIA1	34.2	34.5	37.5	35.4	34.5	35.5	35.27	1.21	0.052	0.018	642	NA
YOR138C	RUP1	66.1	70.1	65.8	61.5	67.1	66.9	66.25	2.78	0.036	0.036	505	NA
YOR139C	YOR139C	0.8	0.5	0.5	0.3	0.9	0.3	0.55	0.25	0.289	0.619	NA	NA
YOR140W	SFL1	26.1	28.2	27.5	28.3	30	27.4	27.92	1.29	0.039	0.059	542	NA
YOR141C	ARP8	38.5	40.8	37.8	39.2	36.3	40.7	38.88	1.74	0.040	0.057	524	NA
YOR142W	LSC1	212.5	215.1	222.6	211.5	209.3	211.4	213.73	4.73	0.024	0.022	1729	NA
YOR142W-A	YOR142W-A	0	0	0	0	0	0	0	0	N/A	N/A	NA	NA
YOR142W-B	YOR142W-B	282.6	283.5	288.8	278.7	293.2	282.4	284.87	5.22	0.012	0.017	NA	NA
YOR143C	THI80	45.4	47.5	48	49.7	46.4	47.3	47.38	1.46	0.029	0.045	529	NA
YOR144C	ELG1	25.8	26	28.7	29	29.5	29.1	28.02	1.66	0.060	0.059	408	NA
YOR145C	PNO1	118.3	117.2	123.5	119.2	119.6	126.4	120.7	3.52	0.028	0.062	1591	NA
YOR146W	YOR146W	0.1	0.2	0.2	0	0.1	0.1	0.12	0.08	0.346	0.866	NA	NA
YOR147W	MDM32	73.5	72.1	69.9	72.9	73.7	75	72.85	1.73	0.025	0.027	672	NA
YOR148C	SPP2	64.4	63.5	56.8	65.8	61.2	66	62.95	3.48	0.067	0.012	464	NA
YOR149C	SMP3	25.6	26.6	30.3	27.2	29.1	26.1	27.48	1.84	0.090	0.140	513	NA
YOR150W	MRPL23	104.6	100.1	100.8	107.6	103.1	107.8	104	3.29	0.024	0.025	853	NA
YOR151C	RPB2	162.9	162.9	158.9	153	156.5	155.9	158.35	3.99	0.014	0.044	1763	NA
YOR152C	YOR152C	51.5	54.9	53.2	51.4	55.6	55.4	53.67	1.91	0.032	0.036	1257	NA
YOR153W	PDR5	1646.6	1646.1	1666.2	1756.8	1771.9	1744.8	1705.4	58.53	0.007	0.051	16204	NA
YOR154W	SLP1	31.7	28.1	30.5	28.8	28.5	28.8	29.4	1.39	0.061	0.050	273	NA
YOR155C	ISN1	45.9	45.9	46.1	47.5	44	44.8	45.7	1.2	0.003	0.023	650	NA
YOR156C	NFI1	22.6	21	21.8	21.8	25.2	21.8	22.37	1.48	0.037	0.029	118	NA
YOR157C	PUP1	210.4	205.8	203.1	216.3	204.2	208.2	208	4.86	0.018	0.041	1374	NA
YOR158W	PET123	81.6	74.9	77.8	72.4	77.2	79.3	77.2	3.24	0.043	0.072	964	NA
YOR159C	SME1	82.1	81.2	79.1	80	75.6	82.9	80.15	2.62	0.019	0.047	359	NA
YOR160W	MTR10	42.6	45.5	45.4	42.8	45	43.8	44.18	1.3	0.037	0.069	382	NA
YOR161C	PNS1	13.6	12.9	13.9	13.4	13.3	13.5	13.43	0.33	0.038	0.023	107	NA
YOR161C-C	YOR161C-C	1.1	1.1	1.1	1.5	0.9	0.6	1.05	0.29	0.000	0.164	35	NA
YOR161W-A	YOR161W-A	1.2	1.6	1.9	1.3	1.6	0.9	1.42	0.35	0.224	0.046	NA	NA
YOR161W-B	YOR161W-B	3.2	2.8	3.4	2.5	2.4	1.6	2.65	0.64	0.098	0.137	NA	NA
YOR162C	YRR1	19.4	20	19.7	17.8	19.9	17.9	19.12	1	0.015	0.048	308	NA
YOR163W	DDP1	54.8	52.8	55.2	54.9	48.7	54.1	53.42	2.47	0.024	0.063	351	NA
YOR164C	YOR164C	106.1	109	108.3	113	113.8	117.5	111.28	4.22	0.014	0.036	877	NA
YOR165W	SEY1	80.6	77	79	86.2	79	77.3	79.85	3.38	0.023	0.040	1372	NA
YOR166C	SWT1	52	55.4	48	50.4	51	54	51.8	2.64	0.072	0.061	482	NA
YOR167C	RPS28A	4869.6	4860.3	4785.8	4975.5	4946.9	4959.6	4899.62	73.48	0.009	0.040	4466	NA
YOR168W	GLN4	269.1	264.6	261.1	266.7	263.2	268.7	265.57	3.16	0.015	0.007	2862	NA
YOR169C	YOR169C	6	4.9	5.4	4.4	5.2	5.2	5.18	0.53	0.101	0.174	NA	NA
YOR170W	YOR170W	3	3.6	3.2	4.6	5.1	5.9	4.23	1.15	0.094	0.222	NA	NA
YOR171C	LCB4	57.9	53.5	50.1	52.8	55.1	53.6	53.83	2.58	0.073	0.050	557	NA
YOR172W	YRM1	34.9	34.9	35.9	39.4	34.5	34.9	35.75	1.85	0.016	0.071	559	NA
YOR173W	DCS2	24.2	24.8	23.9	24.8	25.9	26.3	24.98	0.94	0.019	0.014	357	NA
YOR174W	MED4	41.5	42.9	42.6	42.7	41.9	43.1	42.45	0.62	0.017	0.059	704	NA
YOR175C	ALE1	102.2	100.8	109.9	103.6	100.4	112.1	104.83	4.96	0.047	0.020	1059	NA
YOR176W	HEM15	62.2	61.4	61.1	61.9	60	60	61.1	0.93	0.009	0.011	1328	NA
YOR177C	MPC54	5.8	5.5	5.3	6.2	6.3	7.2	6.05	0.68	0.045	0.050	65	NA
YOR178C	GAC1	16	16.3	14.9	15.4	14.9	15.8	15.55	0.58	0.047	0.105	124	NA
YOR179C	SYC1	32.6	36.4	33.9	39.1	36.6	34.8	35.57	2.3	0.056	0.091	256	NA
YOR180C	DCI1	11.2	11.2	10.2	11.2	10.6	10.4	10.8	0.46	0.053	0.000	151	NA
YOR181W	LAS17	71.4	73.4	72.9	67	69	73.5	71.2	2.67	0.014	0.080	363	NA
YOR183W	FYV12	0.2	0.9	0.6	0.3	0.5	0.3	0.47	0.26	0.620	0.811	1	NA
YOR184W	SER1	246.6	255.1	259.4	263.4	257.8	258.8	256.85	5.7	0.026	0.035	2632	NA
YOR185C	GSP2	91.5	88.9	86.5	94.3	93.9	93	91.35	3.08	0.028	0.029	798	NA
YOR186C-A	YOR186C-A	3.3	2.7	3.1	3.6	3.2	2.7	3.1	0.35	0.101	0.044	NA	NA
YOR186W	YOR186W	3.9	3.4	3.5	3	3.7	3.1	3.43	0.34	0.073	0.131	77	NA
YOR187W	TUF1	229.1	231.8	230.4	231.1	225.1	228.2	229.28	2.43	0.006	0.008	1565	NA
YOR188W	MSB1	44.6	49.5	44.4	45.1	45.3	43.5	45.4	2.11	0.063	0.020	677	NA
YOR189W	IES4	44.1	49.5	46.7	49.1	47.2	50.6	47.87	2.35	0.058	0.062	188	NA
YOR190W	SPR1	8.3	7.1	7.4	7.6	6	8.3	7.45	0.86	0.082	0.046	143	NA
YOR191W	RIS1	37.1	40.5	38.2	41.4	41.9	38	39.52	2	0.045	0.084	477	NA
YOR192C	THI72	9.5	7.7	6.6	8.7	10.2	9	8.62	1.29	0.185	0.044	157	NA
YOR192C-A	YOR192C-A	0	0	0	0	0	0	0	0	N/A	N/A	NA	NA
YOR192C-B	YOR192C-B	1	1.5	0.6	0.9	1.1	0.6	0.95	0.34	0.436	0.331	NA	NA
YOR192C-C	YOR192C-C	111.2	122	119.7	104.6	95.7	90.8	107.33	12.64	0.048	0.119	800	NA
YOR193W	PEX27	33	32.4	32.5	33.6	35.2	36	33.78	1.49	0.010	0.028	235	NA
YOR194C	TOA1	104	101.9	98.9	106.9	94.1	104.8	101.77	4.64	0.025	0.020	1199	NA
YOR195W	SLK19	35	35.3	31.8	32.1	28.7	34.4	32.88	2.53	0.057	0.045	193	NA
YOR196C	LIP5	63.2	63.4	61.1	63.3	64.9	60	62.65	1.78	0.020	0.011	557	NA
YOR197W	MCA1	162.5	160.2	164.8	198.6	181.5	190	176.27	16.09	0.014	0.101	1293	NA
YOR198C	BFR1	251.9	256.1	250.7	248.2	238.6	246.2	248.62	5.96	0.011	0.023	4140	NA
YOR199W	YOR199W	0.8	1.6	1.2	1.5	0.8	0.6	1.08	0.41	0.333	0.354	NA	NA
YOR200W	YOR200W	0.8	0.1	0.6	0	0.8	0.6	0.48	0.35	0.721	1.732	NA	NA
YOR201C	MRM1	59.5	61.2	64.4	61.5	64.7	65.1	62.73	2.31	0.040	0.022	765	NA
YOR202W	HIS3	320.2	317.6	318.5	326.9	324.4	320.4	321.33	3.59	0.004	0.038	2289	NA
YOR203W	YOR203W	4	4	3.9	5.5	5.6	5.1	4.68	0.8	0.015	0.183	NA	NA
YOR204W	DED1	270.1	277.5	267.6	260.2	263.7	275	269.02	6.59	0.019	0.019	1683	NA
YOR205C	YOR205C	44.8	43.5	43.2	47.8	43.4	45.6	44.72	1.78	0.019	0.057	884	NA
YOR206W	NOC2	152.3	142.4	149.9	165.3	157	163.1	155	8.58	0.035	0.108	1918	NA
YOR207C	RET1	98	98	103.1	99.1	99.7	98.6	99.42	1.92	0.030	0.061	1823	NA
YOR208W	PTP2	40.5	41.3	45	42.3	43.9	41.9	42.48	1.68	0.057	0.043	825	NA
YOR209C	NPT1	166.3	166.2	156.9	163.3	159.2	160.3	162.03	3.86	0.033	0.010	1870	NA
YOR210W	RPB10	289	290.1	297.9	268.2	260.6	268.7	279.08	15.11	0.017	0.069	1469	NA
YOR211C	MGM1	60.8	61.8	65.5	64.4	63.1	62.8	63.07	1.7	0.039	0.047	1075	NA
YOR212W	STE4	150.8	146.1	141.6	136.6	141.4	142.2	143.12	4.83	0.031	0.049	1996	NA
YOR213C	SAS5	31.3	31.2	27.1	30.2	28.2	29.9	29.65	1.68	0.080	0.090	368	NA
YOR214C	YOR214C	1.7	1.4	1.8	1.9	2.3	1.8	1.82	0.29	0.127	0.225	35	NA
YOR215C	YOR215C	78.5	81.4	78.9	78.6	79.4	80.3	79.52	1.13	0.020	0.015	1505	NA
YOR216C	RUD3	48.8	50.6	53.7	49.9	50.1	51.3	50.73	1.67	0.049	0.040	723	NA
YOR217W	RFC1	53.2	57.8	54.1	52	54.1	57.6	54.8	2.38	0.044	0.039	794	NA
YOR218C	YOR218C	6.5	5.8	4.5	7.3	7.1	6.7	6.32	1.03	0.181	0.075	NA	NA
YOR219C	STE13	39.9	42.3	45.4	47	46.4	41.9	43.82	2.85	0.065	0.083	778	NA
YOR220W	YOR220W	55.3	55.4	52.3	50.7	57.4	53.1	54.03	2.44	0.032	0.044	775	NA
YOR222W	ODC2	57	53.7	59	54.3	56.5	57.9	56.4	2.05	0.047	0.036	1829	NA
YOR223W	YOR223W	21.2	21.8	21.3	19.8	21.3	21	21.07	0.67	0.015	0.073	116	NA
YOR224C	RPB8	331.8	328	341.3	358.5	363.8	360	347.23	15.54	0.021	0.043	1350	NA
YOR225W	YOR225W	0.9	1.1	1.2	1.4	1.4	1	1.17	0.21	0.143	0.311	NA	NA
YOR226C	ISU2	72.5	70.3	72.8	71.5	71.6	68.1	71.13	1.73	0.019	0.050	302	NA
YOR227W	YOR227W	66.9	62.7	65.1	64.4	60.7	59.8	63.27	2.71	0.032	0.025	660	NA
YOR228C	YOR228C	32.8	32.5	31	31.8	30.7	29	31.3	1.39	0.030	0.051	398	NA
YOR229W	WTM2	41.8	40.2	37.8	41.8	38.9	42.9	40.57	1.95	0.050	0.011	422	NA
YOR230W	WTM1	331.2	344.9	343.6	341	360.8	347.8	344.88	9.65	0.022	0.059	3558	NA
YOR231C-A	YOR231C-A	0.2	0.2	0.2	0.2	0.1	0.1	0.17	0.05	0.000	0.000	NA	NA
YOR231W	MKK1	40.4	42.3	37.7	41.2	39.7	44.3	40.93	2.26	0.058	0.022	652	NA
YOR232W	MGE1	212.5	211.3	206.7	213.8	221.3	222.9	214.75	6.2	0.015	0.015	1579	NA
YOR233W	KIN4	45.1	45.6	46	44.7	45.6	47.6	45.77	1.01	0.010	0.005	650	NA
YOR235W	YOR235W	50.8	49.1	49.8	52.7	46.7	52.8	50.32	2.32	0.017	0.032	NA	NA
YOR236W	DFR1	63	61	57.5	59.2	56	62.3	59.83	2.76	0.046	0.078	483	NA
YOR237W	HES1	5.9	6.9	7.1	8.3	7.5	5.7	6.9	0.98	0.097	0.212	79	NA
YOR238W	YOR238W	51.2	46.3	46.8	49	46.9	50.9	48.52	2.17	0.056	0.034	992	NA
YOR241W	MET7	74.4	84.2	81.6	73.9	76.2	78.6	78.15	4.11	0.063	0.007	1368	NA
YOR242C	SSP2	11.4	12.1	12	11.7	10.9	14.5	12.1	1.25	0.032	0.157	111	NA
YOR243C	PUS7	90.6	84.5	89.8	89.6	84.5	91.8	88.47	3.17	0.038	0.040	1026	NA
YOR244W	ESA1	45.3	44.7	49	48.3	51.4	52.9	48.6	3.25	0.050	0.060	751	NA
YOR245C	DGA1	45.1	45.9	45	46.3	41.2	44.8	44.72	1.82	0.011	0.034	819	NA
YOR246C	YOR246C	98.4	92.1	92.7	91.1	90.9	99.7	94.15	3.87	0.037	0.046	1218	NA
YOR247W	SRL1	1369.9	1368.8	1366.8	1307.1	1369.1	1312.9	1349.1	30.36	0.001	0.028	13387	NA
YOR248W	YOR248W	4.3	3.8	4.1	2.3	2.9	3.1	3.42	0.78	0.062	0.303	NA	NA
YOR249C	APC5	27.7	26.7	26.7	30	27.7	28.3	27.85	1.23	0.021	0.049	348	NA
YOR250C	CLP1	33.6	28.9	30.9	32.6	32.6	31.7	31.72	1.66	0.076	0.018	505	NA
YOR251C	YOR251C	83.1	78.1	80.8	78.5	83.5	78.3	80.38	2.46	0.031	0.037	807	NA
YOR252W	TMA16	88.6	92.3	88	92.3	89.6	93.8	90.77	2.35	0.026	0.037	497	NA
YOR253W	NAT5	56.3	59.4	57.2	61.9	58	59.9	58.78	2.03	0.028	0.076	402	NA
YOR254C	SEC63	189.8	192.8	191.5	199.1	203.1	208.4	197.45	7.35	0.008	0.072	1110	NA
YOR255W	OSW1	0.4	0.2	0.5	0.3	0.5	0.3	0.37	0.12	0.417	0.250	10	NA
YOR256C	TRE2	43.6	47.6	46.8	46.1	43.9	42	45	2.16	0.046	0.068	569	NA
YOR257W	CDC31	73.8	76	75.8	71.8	65.1	70.3	72.13	4.1	0.016	0.044	367	NA
YOR258W	HNT3	11	13.4	11.8	11.7	11.8	13.3	12.17	0.96	0.101	0.042	180	NA
YOR259C	RPT4	217.6	214.1	226.9	219.1	209.3	223	218.33	6.26	0.030	0.048	2326	NA
YOR260W	GCD1	123.4	124	125.2	129.1	135.4	128.2	127.55	4.47	0.007	0.047	1511	NA
YOR261C	RPN8	317.9	316.5	308.7	312.4	309	327.3	315.3	6.98	0.016	0.087	1601	NA
YOR262W	YOR262W	63.7	66.9	60.1	60.5	59.5	61	61.95	2.83	0.054	0.041	392	NA
YOR263C	YOR263C	0.1	0.4	0.2	0.3	0.3	0.2	0.25	0.1	0.655	0.693	NA	NA
YOR264W	DSE3	54.5	55.2	51.1	50.5	53.4	52.6	52.88	1.85	0.041	0.040	1107	NA
YOR265W	RBL2	161.7	168.5	168.4	149	152.4	155.5	159.25	8.26	0.023	0.067	408	NA
YOR266W	PNT1	34.3	33.7	33	30.1	33.9	35.2	33.37	1.76	0.019	0.074	161	NA
YOR267C	HRK1	110	108.2	107.9	125.7	122	125.7	116.58	8.77	0.010	0.067	2127	NA
YOR268C	YOR268C	4.1	3.2	1.7	2	2.7	2.2	2.65	0.89	0.404	0.383	8	NA
YOR269W	PAC1	30	29.9	28.9	26.9	27.7	29.4	28.8	1.25	0.021	0.070	305	NA
YOR270C	VPH1	313.5	319.1	318.3	317.7	334.4	322.5	320.92	7.21	0.010	0.045	6371	NA
YOR271C	YOR271C	141.8	146.1	139.9	136.4	132	142.5	139.78	4.97	0.022	0.020	1630	NA
YOR272W	YTM1	101	100.5	100.8	98	100.8	100.9	100.33	1.16	0.002	0.020	1895	NA
YOR273C	TPO4	61.3	60.1	57.6	56.2	57.1	55.7	58	2.23	0.032	0.044	1049	NA
YOR274W	MOD5	35	37.9	38.3	38.9	33	36.8	36.65	2.25	0.049	0.110	218	NA
YOR275C	RIM20	45.3	46.6	45.2	46.5	44	44.4	45.33	1.06	0.017	0.015	379	NA
YOR276W	CAF20	304.5	304.5	304.5	328.5	328.7	325	315.95	12.61	0.000	0.041	4392	NA
YOR277C	YOR277C	13	14.3	12.1	14	16.2	14.6	14.03	1.41	0.084	0.046	NA	NA
YOR278W	HEM4	43.5	44.6	45.1	44.8	48.2	46.8	45.5	1.7	0.018	0.019	286	NA
YOR279C	RFM1	29.8	28.6	31.6	30.5	29.8	28.8	29.85	1.11	0.050	0.038	122	NA
YOR280C	FSH3	51	50.6	51.5	53.8	51.7	58.5	52.85	2.98	0.009	0.061	587	NA
YOR281C	PLP2	112.7	109.9	107.4	106.3	101	113.3	108.43	4.58	0.024	0.032	1313	NA
YOR282W	YOR282W	0.1	0.1	0.1	0.1	0.3	0	0.12	0.1	0.000	0.000	NA	NA
YOR283W	YOR283W	134.7	134.8	139.7	136.8	128.8	137.7	135.42	3.75	0.021	0.021	1719	NA
YOR284W	HUA2	18.4	18.1	20.2	19.4	18	19.5	18.93	0.89	0.060	0.052	213	NA
YOR285W	YOR285W	333.4	330.1	323.8	322.6	328.2	323.2	326.88	4.38	0.015	0.036	1471	NA
YOR286W	YOR286W	91.2	92.3	95.2	102.5	101.8	101.7	97.45	5.16	0.022	0.093	1091	NA
YOR287C	YOR287C	55.5	57.9	58.2	54.4	50.4	53.7	55.02	2.9	0.026	0.029	392	NA
YOR288C	MPD1	35	34.3	35.7	39.7	38.9	38.8	37.07	2.33	0.020	0.063	604	NA
YOR289W	YOR289W	14.8	15.5	14.5	16.3	13.5	16.3	15.15	1.1	0.034	0.051	126	NA
YOR290C	SNF2	73.8	70	71.2	71	73.5	71.7	71.87	1.49	0.027	0.028	1416	NA
YOR291W	YOR291W	53.3	57.3	58	54.6	58.3	56.5	56.33	1.99	0.045	0.045	631	NA
YOR292C	YOR292C	41.7	41	43.7	40	42.4	42.9	41.95	1.34	0.033	0.056	331	NA
YOR293C-A	YOR293C-A	4.6	5.5	4.8	4.1	5.9	5.7	5.1	0.71	0.095	0.119	187	NA
YOR294W	RRS1	149.4	149.6	155.8	164	150.5	158.5	154.63	5.9	0.024	0.047	397	NA
YOR295W	UAF30	44.8	44.3	45.9	48.4	54.9	49.7	48	3.97	0.018	0.069	142	NA
