#Supplemental Table 3: Protein identification using 15 cm columns, 3 µm C18 beads and 140 min gradients.
#Protein IDs	Gene name	Uniprot	Peptides	Razor Peptides	Unique Peptides	Sequence Coverage [%]	Mol. Weight [kDa]	PEP	Intensity Exp1	Intensity Exp2	Intensity Exp3
orf	protein.name	gene.name	uniprot	peptides	razor.peptides	unique.peptides	sequence.coverage	mw	pep	intensity.exp1	intensity.exp2	intensity.exp3
YBR093C	P60;Repressible acid phosphatase	PHO5;YBR0814;YBR093C	P00635	3	3	1	7.3	52.9	0.000057255	466150	93958	1025300
YBR106W	Inorganic phosphate transport protein PHO88;Phosphate metabolism protein PHO88	PHO88;YBR0835;YBR106W	P38264	6	6	6	41	21.1	4.1247E-84	5965900	6184300	5846800
YGR086C	Sphingolipid long chain base-responsive protein PIL1	PIL1;YGR086C	P53252	4	4	3	18	38.3	5.3902E-96	3082600	3546000	2415800
YMR079W	Phosphatidylinositol/phosphatidylcholine transfer protein;SEC14 cytosolic factor	PIT1;SEC14;YM9582.04;YMR079W	P24280	9	9	9	41.8	34.9	6.6994E-67	4089500	2663900	2665700
YMR006C	Lysophospholipase 2;Phospholipase B 2	PLB2;YM8270.08C;YMR006C	Q03674	1	1	1	3	75.5	0.0055073	0	0	33013
YML063W	40S ribosomal protein S1-B;RP10B	PLC2;RPS10B;RPS1B;YML063W	P23248	8	2	2	42	28.8	2.3952E-106	5647300	2976000	5002200
YGL008C;YPL036W	Plasma membrane ATPase 1;Plasma membrane ATPase 2;Proton pump 1;Proton pump 2	PMA1;PMA2;YGL008C;YPL036W	P05030;P19657	14	14	14	18.5	99.6	0	58350000	61117000	26604000
YER003C	Mannose-6-phosphate isomerase;Phosphohexomutase;Phosphomannose isomerase	PMI40;YER003C	D3DLP9;P29952	7	7	7	22.6	48.2	3.7145E-75	4911600	1432000	952850
YGL037C	Nicotinamidase;Nicotine deamidase	PNC1;YGL037C	P53184	5	5	5	37.5	25.0	1.0223E-130	16833000	8836800	5490500
YML069W	Facilitates chromatin transcription complex subunit POB3;FACT complex subunit POB3	POB3;YML069W	Q04636	4	4	4	9.8	63.0	4.7522E-14	95039	176020	39165
YBR088C	Proliferating cell nuclear antigen	POL30;YBR0811;YBR088C	P15873	7	7	7	31	28.9	2.1131E-98	1804700	1733900	699840
YEL055C	DNA Polymerase phi; has sequence similarity to the human MybBP1A and weak sequence similarity to B-type DNA polymerases, not required for chromosomal DNA replication; required for the synthesis of rRNA;DNA polymerase V	POL5;YEL055C	D3DLJ5;P39985;Q9Y737	2	2	2	2	115.9	0.00020323	0	57043	0
YKL181W	Phosphoribosyl pyrophosphate synthase 1;Ribose-phosphate pyrophosphokinase 1	PPS1;PRP1;PRPS;PRPS1;PRS1;YKL181W	P32895	1	1	1	2.8	47.0	0.00053364	100130	65401	34371
YHR201C	Exopolyphosphatase;Exopolyphosphatase, hydrolyzes inorganic polyphosphate (Poly P) into Pi residues; located in the cytosol, plasma membrane, and mitochondrial matrix;Metaphosphatase	PPX1;YHR201C	D3DLF0;P38698	1	1	1	2.8	45.1	0.000098269	0	12140	12018
YML016C	Serine/threonine-protein phosphatase PP-Z1	PPZ1;YM9571.02C;YML016C	P26570;Q00979	1	1	1	2.6	77.5	0.0064412	0	0	55076
YEL060C	Cerevisin;Prb1p;Proteinase YSCB;Vacuolar protease B	PRB1;YEL060C	D3DLJ0;P09232	4	4	4	9.4	69.6	1.2758E-08	0	5493600	620060
YMR297W	Carboxypeptidase Y;Carboxypeptidase YSCY	PRC1;YMR297W	P00729	5	5	5	16	59.8	2.2673E-100	2526500	2093700	2293000
YGL011C	Macropain subunit C7-alpha;Multicatalytic endopeptidase complex C7;Proteasome component C7-alpha;Proteasome component Y8;Proteinase YSCE subunit 7;SCL1 suppressor protein	PRC2;PRS2;SCL1;YGL011C	P15708;P21243	5	5	5	25	28.0	1.5292E-41	719110	782330	1107900
YCL057W	Oligopeptidase YSCD;Protease D;Proteinase yscD;Saccharolysin	PRD1;YCL057W;YCL57W	P25375	6	6	6	11.4	81.9	2.5956E-17	309660	201570	56408
YER012W	Beta 4 subunit of the 20S proteasome; localizes to the nucleus throughout the cell cycle;Macropain subunit C11;Multicatalytic endopeptidase complex subunit C11;Proteasome component C11;Proteinase YSCE subunit 11	PRE1;YER012W	D3DLQ9;P22141	2	2	2	13.1	22.5	4.9766E-10	477410	474840	147880
YMR314W	Macropain subunit PRE5;Multicatalytic endopeptidase complex subunit PRE5;Proteasome component PRE5;Proteinase YSCE subunit PRE5	PRE5;YM9924.06;YMR314W	P40302	4	4	4	20.9	25.6	1.8685E-16	2613700	551910	726030
YOL038W	Macropain subunit PRE6;Multicatalytic endopeptidase complex subunit PRE6;Proteasome component PRE6;Proteinase YSCE subunit PRE6	PRE6;YOL038W	P40303	2	2	2	8.3	28.4	4.71E-18	91907	1628200	0
YML092C	Macropain subunit Y7;Multicatalytic endopeptidase complex subunit Y7;Proteasome component Y7;Proteinase YSCE subunit 7	PRE8;PRS4;YML092C	P23639	6	6	6	29.2	27.2	3.4244E-46	956620	2136200	1180000
YGR135W	Macropain subunit Y13;Multicatalytic endopeptidase complex subunit Y13;Proteasome component Y13;Proteinase YSCE subunit 13	PRE9;PRS5;YGR135W	P23638	2	2	2	9.3	28.7	2.6693E-08	524330	375750	386180
YGL120C	Helicase JA1;Pre-mRNA-splicing factor ATP-dependent RNA helicase PRP43	PRP43;YGL120C	P53131	1	1	1	1.6	87.6	0.000044263	40927	0	0
YHL011C	Phosphoribosyl pyrophosphate synthase 3;Ribose-phosphate pyrophosphokinase;Ribose-phosphate pyrophosphokinase 3	PRPS3;PRS3;YHL011C	D3DKQ2;P38689	2	2	2	10.6	35.1	0.000026884	284730	42930	0
YBL064C	1-Cys PRX;Mitochondrial peroxiredoxin PRX1;Mitochondrial thiol peroxidase;Thioredoxin reductase	PRX1;YBL0503;YBL0524;YBL064C	P34227	3	3	3	11.9	29.5	4.5846E-07	608050	594720	492280
YER089C	Protein phosphatase 2C homolog 2;Ptc2p	PTC2;YER089C	D3DLZ6;P39966	3	3	3	11.4	50.4	4.7596E-23	178150	377120	511060
YHR076W	Protein phosphatase 2C homolog 7, mitochondrial;Ptc7p	PTC7;YHR076W	A2TBN2;D3DL26;P38797;Q06HN3	2	2	2	7.6	37.8	4.8531E-10	0	87739	51916
YPL212C	tRNA pseudouridine synthase 1;tRNA pseudouridylate synthase 1;tRNA-uridine isomerase 1	PUS1;YPL212C	Q12211	1	1	1	1.8	62.1	0.0018128	0	282660	0
YHR037W	Delta-1-pyrroline-5-carboxylate dehydrogenase, mitochondrial;Putative uncharacterized protein	PUT2;YHR037W	D3DKY4;P07275	1	1	1	2.1	64.4	3.6191E-07	106560	17935	32616
YBR218C;YGL062W	Pyruvate carboxylase 1;Pyruvate carboxylase 2;Pyruvic carboxylase 1;Pyruvic carboxylase 2	PYC1;PYC2;PYV;YBR1507;YBR218C;YGL062W	P11154;P32327	12	12	12	14.2	130.2	7.3775E-84	3135400	3527000	1077200
YML106W	Orotate phosphoribosyltransferase 1	PYR5;URA5;YM8339.13;YML106W	P13298	9	9	7	44.7	24.7	4.1857E-221	4306500	4945700	3002700
YHR074W	Glutamine-dependent NAD(+) synthetase;Glutamine-dependent NAD(+) synthetase, essential for the formation of NAD(+) from nicotinic acid adenine dinucleotide;NAD(+) synthase [glutamine-hydrolyzing]	QNS1;YHR074W	D3DL24;P38795	1	1	1	2.5	80.7	0.004877	0	0	83211
YEL037C	Putative uncharacterized protein;UV excision repair protein RAD23	RAD23;SYGP-ORF29;YEL037C	D3DLL2;P32628	4	4	4	11.3	42.4	9.1988E-21	242100	514940	131520
YIR001C	RNA-binding protein SGN1	RBP29;SGN1;YIB1C;YIR001C	P40561	1	1	1	4	29.0	0.00018484	0	121140	101330
YOR220W	Regulator of calcineurin 2;Weak suppressor of PAT1 ts protein 1	RCN2;WSP1;YOR220W;YOR50-10	Q12044	2	2	2	7.2	29.3	3.2474E-08	103680	163010	0
YIL118W	GTP-binding protein RHO3	RHO3;YIL118W	Q00245	2	2	2	8.7	25.3	0.00095871	136270	119690	95191
YOL143C	6,7-dimethyl-8-ribityllumazine synthase;Riboflavin synthase beta chain	RIB4;YOL143C	P50861;Q08286	3	3	3	17.2	18.6	6.7468E-25	3573800	4044400	2785900
YBR256C	Riboflavin synthase alpha chain	RIB5;YBR1724;YBR256C	P38145	4	4	4	21.4	26.2	7.7504E-130	787280	1488700	1513700
YCR028C-A	Mitochondrial ssDNA-binding protein;Single-stranded DNA-binding protein RIM1, mitochondrial	RIM1;YCR028C-A;YCR28C-A	O11851;P32445	2	2	2	17.8	15.4	1.6534E-66	2626100	2175600	2159300
YEL024W	Complex III subunit 5;Cytochrome b-c1 complex subunit Rieske, mitochondrial;Rieske iron-sulfur protein;Ubiquinol-cytochrome c reductase iron-sulfur subunit	RIP1;YEL024W	D3DLM4;P08067	2	2	2	18.1	23.4	2.0611E-08	0	90775	0
YOR095C	D-ribose-5-phosphate ketol-isomerase;Phosphoriboisomerase;Ribose-5-phosphate isomerase	RKI1;YOR095C;YOR3174C	Q12189	5	5	5	26.7	28.3	3.2872E-34	1493000	278650	353260
YDR091C	ATP-binding cassette sub-family E member RLI1;RNase L inhibitor;Translation initiation factor RLI1	RLI1;YDR091C	Q03195	4	4	4	7.1	68.3	1.2007E-21	795770	769270	191290
YMR235C	Protein involved in RNA production/processing;Ran GTPase-activating protein 1	RNA1;YM9959.17C;YMR235C	P11745	9	9	9	28.3	45.8	2.3142E-38	7182800	1277300	1322200
YCL028W	[PIN+] prion protein RNQ1;Rich in asparagine and glutamine protein 1	RNQ1;YCL028W;YCL181;YCL28W	P25367;Q8NKJ9;Q8TF94;Q8TFA2;Q8TFC8;Q8TFP4;Q8TFP5;Q8TFP6;Q8TFP7;Q8TFP8	2	2	2	9.1	42.6	2.5922E-36	1479100	0	92625
YGL031C	60S ribosomal protein L24-A;L30;RP29;YL21	RP29;RPL24A;RPL30A;YGL031C	A2TBN7;P04449	7	7	2	31	17.6	2.3994E-45	10920000	6826200	6227500
YDR447C;YML024W	40S ribosomal protein S17-A;40S ribosomal protein S17-B;RP51A;RP51B	RP51A;RP51B;RPS17A;RPS17B;YDR447C;YML024W	P02407;P14127	6	6	6	58.1	15.8	7.786E-65	23928000	44344000	19564000
YOL121C	40S ribosomal protein S19-A;RP55A;S16a;YP45;YS16A	RP55A;RPS16AA;RPS19A;YOL121C	P07280	7	7	1	56.9	15.9	9.4766E-94	90474000	106320000	112020000
YDL083C;YMR143W	40S ribosomal protein S16;RP61R	RP61R;RPS16A;RPS16B;YDL083C;YM9375.12;YMR143W	P26787;P40213	5	5	5	39.9	15.8	1.8104E-53	27198000	5253500	8319600
YPR010C	DNA-directed RNA polymerase I 135 kDa polypeptide;DNA-directed RNA polymerase I polypeptide 2;DNA-directed RNA polymerase I subunit RPA2	RPA135;RPA2;RRN2;SRP3;YP9531.03C;YPR010C	P22138	1	1	1	1.3	135.7	0.00053401	0	34148	29979
YBR154C	ABC27;DNA-directed RNA polymerases I, II, and III 27 kDa polypeptide;DNA-directed RNA polymerases I, II, and III subunit RPABC1	RPA7;RPB5;RPC9;YBR1204;YBR154C	P20434;Q02121	3	3	3	20	25.1	0.000035209	0	74950	78697
YOR210W	ABC10-beta;ABC8;DNA-directed RNA polymerases I, II, and III 8.3 kDa polypeptide;DNA-directed RNA polymerases I, II, and III subunit RPABC5	RPB10;YOR210W	P22139	1	1	1	12.9	8.3	0.0037076	561520	287050	239840
YOL005C	B13.6;DNA-directed RNA polymerase II 13.6 kDa polypeptide;DNA-directed RNA polymerase II subunit RPB11	RPB11;YOL005C	P38902	1	1	1	9.2	13.6	0.00012907	0	202720	90265
YOR224C	ABC14.4;ABC14.5;DNA-directed RNA polymerases I, II, and III 14.5 kDa polypeptide;DNA-directed RNA polymerases I, II, and III subunit RPABC3	RPB8;YOR224C;YOR50-14	P20436	1	1	1	10.3	16.5	0.0015008	567390	0	0
YKR081C	Ribosome biogenesis protein RPF2	RPF2;YKR081C;YKR401	P36160	1	1	1	2.9	39.6	0.01192	0	52489	0
YBR079C	Eukaryotic translation initiation factor 3 110 kDa subunit homolog;Eukaryotic translation initiation factor 3 subunit A;Translation initiation factor eIF3, p110 subunit homolog	RPG1;TIF32;YBR0734;YBR079C	P38249	18	18	18	19.8	110.3	2.6814E-58	6292900	5472000	6967100
YIL119C	Negative RAS protein regulator protein	RPI1;YIL119C	P23250	1	1	1	2.9	46.6	0.013341	0	0	235990
YLR029C;YMR121C	60S ribosomal protein L15-A;60S ribosomal protein L15-B;L13;RP15R;YL10;YP18	RPL10A;RPL10B;RPL13A;RPL13B;RPL15A;RPL15B;YL10A;YL10B;YLR029C;YM8564.03C;YMR121C	P05748;P54780	4	4	4	18.1	24.4	8.9072E-39	5480600	17281000	4797400
YMR142C	60S ribosomal protein L13-B	RPL13;RPL13B;YM9375.11C;YMR142C	P40212	4	4	1	22.1	22.5	7.9354E-17	9395800	22586000	13189000
YIL133C	60S ribosomal protein L16-A;L13a;L21;RP22;YL15	RPL13;RPL16A;RPL21A;YIL133C	P26784	6	4	4	30.7	22.2	4.4128E-29	1357200	1946200	2867700
YDL082W	60S ribosomal protein L13-A	RPL13A;YDL082W	Q12690	4	1	1	22.1	22.6	2.7408E-16	202080	0	545940
YHL001W;YKL006W	60S ribosomal protein L14-A;60S ribosomal protein L14-B;Protein component of the large (60S) ribosomal subunit, nearly identical to Rpl14Ap and has similarity to rat L14 ribosomal protein	RPL14A;RPL14B;YHL001W;YKL006W;YKL153	D3DKR3;P36105;P38754	6	6	6	26.8	15.2	1.7982E-23	11787000	11896000	4047200
YBL087C;YER117W	60S ribosomal protein L23;L17a;Protein component of the large (60S) ribosomal subunit, identical to Rpl23Ap and has similarity to E. coli L14 and rat L23 ribosomal proteins;YL32	RPL17A;RPL17AA;RPL17AB;RPL17B;RPL23A;RPL23B;YBL0713;YBL087C;YER117W	D3DM23;P04451	3	3	3	37.2	14.5	1.9972E-73	3415900	316900	2055400
YML073C	60S ribosomal protein L6-A;L17;RP18;YL16	RPL17A;RPL6A;YL16A;YML073C	Q02326	10	6	6	46	20.0	2.8733E-62	6353800	953190	7131700
YBL027W;YBR084C-A	60S ribosomal protein L19;L23;RP15L;RP33;YL14	RPL19A;RPL19B;RPL23A;RPL23B;YBL027W;YBL0424;YBR084BC;YBR084C-A;YL14A;YL14B	P05735	4	4	4	27.5	21.7	1.2546E-21	13094000	6307100	6104400
YBR031W	60S ribosomal protein L4-A;L2;RP2;YL2	RPL2;RPL2A;RPL4A;YBR0315;YBR031W	P10664	7	7	2	20.7	39.1	3.4428E-156	162940000	37022000	44202000
YBR191W	60S ribosomal protein L21-A	RPL21A;URP1;YBR1401;YBR191W	Q02753	7	7	1	40.6	18.2	4.1623E-67	17166000	40105000	30168000
YFL034C-A	60S ribosomal protein L22-B;L1c;RP4;YL31	RPL22B;YFL034BC;YFL034C-A	P56628	3	2	2	38.5	13.8	5.5768E-21	111060	448990	434090
YOL127W	60S ribosomal protein L25;RP16L;YL25;YP42'	RPL25;YOL127W	P04456	5	5	5	48.6	15.8	2.3444E-66	18619000	21580000	19527000
YFR031C-A;YIL018W	60S ribosomal protein L2;L5;RP8;YL6	RPL2A;RPL2B;RPL5A;RPL5B;YFR031BC;YFR031C-A;YIL018W	P05736	3	3	3	18.5	27.4	7.9532E-24	3875800	74166000	64428000
YDR012W	60S ribosomal protein L4-B;L2;RP2;YL2	RPL2B;RPL4B;YD8119.17;YDR012W	P49626	7	2	2	20.7	39.1	2.8377E-152	2117500	4556700	782270
YGL030W	60S ribosomal protein L30;L32;RP73;YL38	RPL30;RPL32;YGL030W	P14120	5	5	5	50.5	11.4	1.5214E-92	15894000	11718000	10228000
YBL092W	60S ribosomal protein L32	RPL32;YBL0838;YBL092W	A2TBM1;P38061	5	5	5	35.4	14.8	8.1645E-53	23485000	28501000	11675000
YMR194W	60S ribosomal protein L36-A;L39;YL39	RPL36A;RPL39A;YM9646.06;YMR194W	P05745	2	1	1	18	11.1	3.4289E-07	0	0	585680
YPL249C-A	60S ribosomal protein L36-B;L39;YL39	RPL36B;RPL39B;YPL249BC;YPL249C-A	O14455	3	3	2	19	11.1	1.2768E-21	2835400	11702000	7969800
YJR094W-A;YPR043W	60S ribosomal protein L43;L37a;YL35	RPL43A;RPL43B;YJR094BW;YJR094W-A;YP9499.02;YPR043W	P49631	1	1	1	14.1	10.1	0.0015226	546040	1052500	822130
YPL198W;YGL076C	60S ribosomal protein L7-A;60S ribosomal protein L7-B;L6;RP11;YL8	RPL6A;RPL6B;RPL7A;RPL7B;RPL8A;YGL076C;YL8A;YL8B;YPL198W	P05737;P87029;Q12213	11	11	11	54.9	27.7	7.6318E-115	29690000	29683000	19152000
YGL147C	60S ribosomal protein L9-A;L8;RP24;YL11	RPL8A;RPL9;RPL9A;YGL147C	P05738	9	9	2	52.9	21.6	9.6908E-94	31315000	51339000	24745000
YIL075C	26S proteasome regulatory subunit RPN2	RPN2;SEN3;YIL075C	P32565	7	7	7	8.6	104.2	7.6692E-42	276710	785810	898190
YER021W	26S proteasome regulatory subunit RPN3;Putative uncharacterized protein	RPN3;SUN2;YER021W	D3DLS0;P40016	3	3	3	6.3	60.4	1.5343E-22	277900	353620	168750
YMR230W;YOR293W	40S ribosomal protein S10-A;40S ribosomal protein S10-B	RPS10A;RPS10B;YM9959.12;YMR230W;YOR293W	P46784;Q08745	4	4	4	33.3	12.7	6.031E-29	22841000	32280000	17597000
YBR048W;YDR025W	40S ribosomal protein S11;RP41;S18;YS12	RPS11A;RPS11B;RPS18A;RPS18B;YBR048W;YBR0501;YD9813.03;YDR025W	O11852;P26781	8	8	8	45.5	17.7	2.5386E-55	18161000	42150000	25129000
YOR369C	40S ribosomal protein S12	RPS12;YOR369C	P48589;Q02545	7	7	7	65	15.5	1.0549E-99	48988000	50280000	46520000
YBR189W;YPL081W	40S ribosomal protein S9-A;40S ribosomal protein S9-B;RP21;S13;YP28;YS11	RPS13A;RPS13B;RPS9A;RPS9B;SUP46;YBR1317;YBR189W;YPL081W;YS11A	O13516;P05755	5	5	5	19.5	22.3	8.6001E-29	3697300	1784100	519610
YBL072C;YER102W	40S ribosomal protein S8;Ribosomal protein S8;RP19;S14;YS9	RPS14A;RPS14B;RPS8A;RPS8B;YBL06.05;YBL0613;YBL072C;YER102W	A2TBM0;A2TBP0;D3DM09;P05754;P22801	4	4	4	26.5	22.5	6.0624E-27	9171200	16761000	22028000
YOL040C	40S ribosomal protein S15;RIG protein;RP52;S21;YS21	RPS15;RPS21;YOL040C	Q01855	3	3	3	19.7	16.0	4.6031E-21	12595000	12765000	17477000
YHL015W	40S ribosomal protein S20;Protein component of the small (40S) ribosomal subunit; overproduction suppresses mutations affecting RNA polymerase III-dependent transcription; has similarity to E. coli S10 and rat S20 ribosomal proteins	RPS20;URP2;YHL015W	D3DKP7;P38701	6	6	6	47.1	13.9	0	36353000	47280000	23932000
YER074W;YIL069C	40S ribosomal protein S24;RP50	RPS24A;RPS24B;RPS24EA;RPS24EB;YER074W;YIL069C	D3DLX9;P26782	6	6	6	42.2	15.3	5.5532E-43	28425000	28364000	21012000
YHR021C;YKL156W	40S ribosomal protein S27-A;40S ribosomal protein S27-B;Ribosomal protein S27;RP61;YS20	RPS27A;RPS27B;YHR021C;YKL156W	D3DKW6;P35997;P38711	2	2	2	37.8	8.9	1.2494E-15	26259000	4276000	4477700
YOR096W	40S ribosomal protein S7-A;RP30;RP40	RPS30;RPS7A;YOR096W;YOR3177W	P26786;Q08502	11	7	7	60	21.6	4.5915E-173	43885000	35866000	31907000
YMR131C	Ribosome assembly protein RRB1	RRB1;YM9553.07C;YMR131C	Q04225	2	2	2	4.9	57.3	2.6751E-06	183460	0	71351
YGR095C	Exosome complex component RRP46;Ribosomal RNA-processing protein 46	RRP46;YGR095C	P53256;Q6TQU1	1	1	1	6.7	24.4	0.001435	0	0	41678
YOR294W	Regulator of ribosome biosynthesis	RRS1;YOR294W	Q08746	2	2	2	20.7	23.0	6.9152E-42	121390	148040	269860
YLR221C	Ribosome assembly protein 3	RSA3;YLR221C	Q05942	2	2	2	8.6	24.7	6.8332E-11	68527	0	78729
YLR033W	Chromatin structure-remodeling complex protein RSC58;Remodel the structure of chromatin complex subunit 58	RSC58;YLR033W	Q07979	1	1	1	3.6	57.8	3.3687E-13	0	21426	32420
YCR052W	Chromatin structure-remodeling complex protein RSC6;Remodel the structure of chromatin complex subunit 6	RSC6;YCR052W;YCR52W	P25632	1	1	1	3.7	54.2	1.388E-22	0	101940	60343
YFR037C	Chromatin structure-remodeling complex protein RSC8;Remodel the structure of chromatin complex subunit 8;SWI3 homolog	RSC8;SWH3;YFR037C	P43609;Q6B289	2	2	2	4.1	63.2	1.4944E-06	59040	0	34954
YKL212W	Phosphoinositide phosphatase SAC1;Recessive suppressor of secretory defect	RSD1;SAC1;YKL212W	P32368	6	6	6	12.7	71.1	5.7866E-31	1328600	735070	434240
YDR233C	Reticulon-like protein 1	RTN1;YDR233C	Q04947	7	7	7	23.4	32.9	1.2098E-50	3061000	10076000	6160300
YDR190C	RuvB-like protein 1;TIP49a homolog;TIP49-homology protein 1	RVB1;TIH1;TIP49A;YDR190C	Q03940	8	8	8	22.7	50.5	1.4647E-76	1716000	718520	1089600
YDR129C	ABP67;Fimbrin	SAC6;YD9302.04C;YDR129C	P32599	6	6	6	12.6	71.8	5.3922E-49	776650	981390	1188500
YER043C	Adenosylhomocysteinase;S-adenosyl-L-homocysteine hydrolase	SAH1;YER043C	D3DLU3;P39954	12	12	12	28.7	49.1	2.6031E-138	25905000	20542000	16022000
YBR143C	Eukaryotic peptide chain release factor subunit 1;Omnipotent suppressor protein 1	SAL4;SUP1;SUP45;YBR1120;YBR143C	P12385	14	14	14	31.1	49.0	1.2586E-139	5062500	4595300	2554500
YPL273W;YMR321C	Homocysteine S-methyltransferase 2;Putative uncharacterized protein YMR321C;S-adenosylmethionine metabolism protein 4;S-methylmethionine:homocysteine methyltransferase 2	SAM4;YM9924.13C;YMR321C;YPL273W	Q04898;Q08985	8	8	8	30.2	36.7	9.5134E-55	5607800	711910	1270400
YPL218W	GTP-binding protein SAR1;Secretion-associated RAS-related protein 1;Small COPII coat GTPase SAR1	SAR1;YPL218W	P20606	4	4	4	27.9	21.5	4.7194E-45	4439200	1338300	293080
YKL117W	Co-chaperone protein SBA1	SBA1;YKL117W;YKL518	P28707	4	4	4	16.7	24.1	7.8024E-08	2527000	4608600	196430
YHL034C	Putative RNA binding protein; involved in translational repression and found in cytoplasmic P bodies; found associated with small nucleolar RNAs snR10 and snR11;Single-stranded nucleic acid-binding protein	SBP1;SSB1;SSBR1;YHL034C	D3DKT4;P10080	6	6	6	28.2	33.0	1.2124E-70	8012100	1519800	4938200
YMR214W	DnaJ-related protein SCJ1	SCJ1;YM8261.08;YMR214W	P25303	2	2	2	7.2	41.5	0.00043405	0	0	88868
YGR049W	Protein SCM4;Suppressor of CDC4 mutation 4	SCM4;YGR049W	P32564;Q45U35	3	3	3	15.5	20.1	0.00026114	383830	1038300	799390
YER120W	Choline sensitivity suppressor protein 2;Integral ER membrane protein that regulates phospholipid metabolism via an interaction with the FFAT motif of Opi1p, also involved in telomeric silencing, disruption causes inositol auxotrophy above 34 degrees C, VAP homolog;VAP homolog 1;Vesicle-associated membrane protein-associated protein SCS2	SCS2;YER120W	D3DM26;P40075	5	5	5	28.3	26.9	2.5997E-77	2001200	1820600	2000700
YGR279C	Probable family 17 glucosidase SCW4;Soluble cell wall protein 4	SCW4;YGR279C	P53334	3	3	3	8	40.2	4.5875E-15	299650	168540	844360
YLL041C	Iron-sulfur subunit of complex II;Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial	SDH;SDH2;SDHB;YLL041C	P21801	2	2	2	9.8	30.2	0.00086143	0	84951	0
YKL148C	Flavoprotein subunit of complex II;Succinate dehydrogenase [ubiquinone] flavoprotein subunit, mitochondrial	SDH1;SDHA;YKL148C;YKL602	Q00711	2	2	2	3.9	70.2	0.0016103	0	259380	0
YBR214W	Protein SDS24	SDS24;YBR1501;YBR214W	P38314	2	2	2	6.3	57.2	2.563E-52	1329900	575350	609710
YGL224C	Protein SSM1	SDT1;SSM1;YGL224C	P53078	1	1	1	6.8	32.0	0.0036983	0	77612	0
YBL050W	alpha-SNAP chaperone;Alpha-soluble NSF attachment protein;N-ethylmaleimide-sensitive factor attachment protein alpha;Vesicular-fusion protein SEC17	SEC17;YBL0505;YBL050W;YBL0517	P32602	4	4	4	20.9	32.8	3.0715E-61	837970	434810	1245700
YBR080C	Vesicular-fusion protein SEC18	SEC18;YBR0736;YBR080C	P18759;Q07067	3	3	3	4.1	84.1	1.0652E-12	204230	140710	162120
YDR238C	Beta-coat protein;Coatomer subunit beta	SEC26;YD8419.05C;YDR238C	P41810;Q03779	5	5	5	4.8	109.0	7.281E-13	230760	266730	11917
YIL076W	Coatomer subunit epsilon;Epsilon-coat protein	SEC28;YIL076W	P40509	3	3	3	15.5	33.8	2.7256E-40	375090	149120	176210
YFL005W	Ras-related protein SEC4;Suppressor of RHO3 protein 6	SEC4;SRO6;YFL005W	P07560	7	7	7	43.7	23.5	2.3264E-34	816380	1465600	886850
YML105C	Signal recognition particle subunit SEC65	SEC65;YM8339.14C;YML105C	P29478	1	1	1	3.3	31.2	0.00059722	0	125850	0
YPR055W	Exocyst complex component SEC8	SEC8;YP9499.11;YPR055W	P32855	2	2	2	3.8	122.2	0.001412	0	49570	456960
YDL225W	Septation protein 7;Seventh homolog of septin 1	SEP7;SHS1;YDL225W	Q07657	1	1	1	2	62.6	0.0014712	0	0	72477
YOR184W	Phosphohydroxythreonine aminotransferase;Phosphoserine aminotransferase	SER1;SERC;YOR184W	P33330	8	8	8	30.6	43.4	7.0872E-46	1563000	975320	399380
YER081W	3-phosphoglycerate dehydrogenase, catalyzes the first step in serine and glycine biosynthesis; isozyme of Ser33p;D-3-phosphoglycerate dehydrogenase 1	SER3;YER081W	D3DLY8;P40054	8	8	5	22.2	51.2	3.4886E-99	3234100	3483100	2310100
YIL074C	D-3-phosphoglycerate dehydrogenase 2	SER33;YIL074C	P40510	7	4	4	20.3	51.2	5.741E-62	1025200	1563700	792580
YDR023W	Serine--tRNA ligase;Seryl-tRNA synthetase, cytoplasmic;Seryl-tRNA(Ser/Sec) synthetase	SERS;SES1;YD9813.01;YDR023W	P07284	15	15	15	35.5	53.3	1.2988E-180	28491000	13221000	11195000
YDL168W	Alcohol dehydrogenase SFA;Glutathione-dependent formaldehyde dehydrogenase;S-(hydroxymethyl)glutathione dehydrogenase	SFA;SFA1;YDL168W	P32771	2	2	2	7.5	41.0	0.000526	0	69527	88948
YDR346C	Survival factor 1	SGI1;SVF1;YDR346C	Q05515	5	5	5	14.8	54.4	6.5314E-99	245400	1073400	99741
YOR007C	SGT/UBP;Small glutamine-rich tetratricopeptide repeat-containing protein 2;Viral protein U-binding protein	SGT2;UNF346;YOR007C	Q12118	8	8	8	27.7	37.2	8.0876E-95	2417400	3063500	1849100
YBR263W	Glycine hydroxymethyltransferase;Serine hydroxymethyltransferase, mitochondrial;Serine methylase	SHM1;SHMT1;YBR1732;YBR263W	P37292	7	7	7	18.8	53.7	5.8501E-57	1173500	575620	630390
YBL058W	Suppressor of high-copy PP1 protein;UBX domain-containing protein 1	SHP1;UBX1;YBL0509;YBL0515;YBL058W	P34223	2	2	2	5.4	47.0	1.5814E-31	222940	164710	0
YBL007C	Actin cytoskeleton-regulatory complex protein SLA1	SLA1;YBL007C;YBL0321	P32790	6	6	6	4.7	135.9	7.0444E-22	271970	422660	176580
